Date,Open,High,Low,Volume
2026-02-10,256.0,256.99,251.01,4730000.0
2026-02-11,252.7,254.74,246.97,2790000.0
2026-02-12,248.0,249.0,232.2,16500000.0
2026-02-13,234.0,238.0,228.97,12910000.0
2026-02-16,237.0,237.6,231.0,1110000.0
