Date,Open,High,Low,Close,Volume
2025-07-31,368.1000061035156,369.75,365.8599853515625,366.67999267578125,997268.0
2025-08-01,366.0,369.0,365.0,368.55999755859375,563189.0
2025-08-04,369.0,370.8900146484375,366.0,368.0299987792969,800264.0
2025-08-05,368.0,375.1099853515625,367.20001220703125,371.82000732421875,975813.0
2025-08-06,371.82000732421875,380.95001220703125,371.82000732421875,378.6400146484375,2359824.0
2025-08-07,380.0,385.7799987792969,378.0,380.7799987792969,1436336.0
2025-08-08,381.010009765625,384.5,379.0,381.1400146484375,677736.0
2025-08-11,380.0,385.0,379.0,382.6199951171875,737613.0
2025-08-12,385.0,385.8500061035156,380.57000732421875,381.3900146484375,297094.0
2025-08-13,381.3500061035156,384.0,376.1099853515625,379.6099853515625,691690.0
2025-08-15,380.0799865722656,382.6099853515625,365.1000061035156,374.5199890136719,404946.0
2025-08-18,374.5199890136719,379.510009765625,372.0,377.8900146484375,600056.0
2025-08-19,377.8900146484375,392.0,377.8900146484375,385.44000244140625,2697339.0
2025-08-20,386.0,387.0,383.0,384.0199890136719,500917.0
2025-08-21,384.0299987792969,387.0,379.9599914550781,381.2300109863281,726587.0
2025-08-22,382.0,385.489990234375,381.2300109863281,382.3299865722656,417219.0
2025-08-25,384.0,384.0,381.0,381.760009765625,237136.0
2025-08-26,382.4800109863281,382.4800109863281,378.010009765625,379.9200134277344,533252.0
2025-08-27,379.989990234375,382.5,375.0,380.2200012207031,529210.0
2025-08-28,380.0,383.9800109863281,380.0,381.7799987792969,449342.0
2025-08-29,380.1000061035156,383.9800109863281,375.0,380.8399963378906,1129866.0
2025-09-01,381.1000061035156,383.0,379.6199951171875,380.19000244140625,508902.0
2025-09-02,381.989990234375,383.0,380.5,382.1499938964844,367428.0
2025-09-03,383.0,387.0,381.20001220703125,383.69000244140625,863714.0
2025-09-04,387.0,389.0,383.0,384.19000244140625,655211.0
2025-09-05,385.0,385.1499938964844,381.0,382.3800048828125,893174.0
2025-09-08,384.0,384.55999755859375,376.5,377.44000244140625,1191553.0
2025-09-09,379.9800109863281,384.19000244140625,376.0199890136719,378.5799865722656,1335407.0
2025-09-10,379.3999938964844,379.3999938964844,374.260009765625,375.5199890136719,986354.0
2025-09-11,375.5199890136719,378.5,374.4100036621094,374.9700012207031,446283.0
2025-09-12,375.94000244140625,376.8999938964844,359.0,363.05999755859375,1468630.0
2025-09-15,363.2200012207031,368.6499938964844,363.2200012207031,366.20001220703125,472944.0
2025-09-16,366.25,370.3999938964844,365.29998779296875,367.1000061035156,1238767.0
2025-09-17,368.0,369.8999938964844,364.5,365.80999755859375,287886.0
2025-09-18,366.0,370.3900146484375,365.0,368.6099853515625,571248.0
2025-09-19,370.2699890136719,370.2699890136719,359.5,360.8399963378906,1399327.0
2025-09-22,361.0,362.3999938964844,350.20001220703125,351.8299865722656,1147898.0
2025-09-23,351.8299865722656,351.8299865722656,351.8299865722656,351.8299865722656,0.0
2025-09-24,362.0,364.0,360.0,363.0899963378906,2356481.0
