Date,Open,High,Low,Close,Volume
2025-07-31,358.0,362.3500061035156,352.5,356.95001220703125,855949.0
2025-08-01,358.0,362.1000061035156,355.0,359.9100036621094,1168697.0
2025-08-04,364.9700012207031,374.0,363.510009765625,372.1099853515625,2876974.0
2025-08-05,372.1099853515625,377.8500061035156,371.989990234375,374.94000244140625,3163979.0
2025-08-06,377.5,382.510009765625,375.1600036621094,380.8299865722656,3126789.0
2025-08-07,381.010009765625,384.3999938964844,376.20001220703125,382.2900085449219,2162742.0
2025-08-08,380.0,386.8999938964844,370.20001220703125,374.7300109863281,1639040.0
2025-08-11,374.0,382.3999938964844,372.0,375.8800048828125,1875675.0
2025-08-12,378.9700012207031,381.25,376.510009765625,378.3999938964844,1139433.0
2025-08-13,380.1099853515625,387.0,379.010009765625,385.4200134277344,1860408.0
2025-08-15,387.45001220703125,399.75,383.0,394.3399963378906,3300897.0
2025-08-18,395.0,413.5,394.6000061035156,411.0199890136719,3728197.0
2025-08-19,412.0,430.0,412.0,425.9800109863281,3914791.0
2025-08-20,430.0,432.45001220703125,423.010009765625,424.6199951171875,2577062.0
2025-08-21,425.0,428.95001220703125,409.0,419.9100036621094,3096060.0
2025-08-22,419.9100036621094,424.5,415.5,417.0799865722656,1247451.0
2025-08-25,418.010009765625,420.0,411.0,413.5799865722656,696364.0
2025-08-26,413.70001220703125,422.9800109863281,411.0,415.44000244140625,907341.0
2025-08-27,418.0,419.5,413.79998779296875,414.6300048828125,787919.0
2025-08-28,415.0,423.5,414.6300048828125,418.260009765625,1560131.0
2025-08-29,420.0,435.0,419.25,427.4200134277344,2963919.0
2025-09-01,429.20001220703125,449.20001220703125,428.010009765625,445.54998779296875,4086384.0
2025-09-02,448.0,448.0,438.0,440.7200012207031,2089897.0
2025-09-03,441.260009765625,450.0,441.260009765625,443.1700134277344,2159612.0
2025-09-04,443.1700134277344,456.0,443.1000061035156,452.9100036621094,2993412.0
2025-09-05,454.8999938964844,482.0,454.1000061035156,466.17999267578125,6159407.0
2025-09-08,469.0,481.0,469.0,478.57000732421875,3073083.0
2025-09-09,477.8999938964844,485.9700012207031,472.5,481.010009765625,3637777.0
2025-09-10,475.6000061035156,486.0,474.0,483.2099914550781,1838689.0
2025-09-11,483.5,486.989990234375,478.0,480.6400146484375,1919069.0
2025-09-12,481.0,483.0,471.5,474.1700134277344,1666181.0
2025-09-15,474.1700134277344,479.04998779296875,470.0,476.5899963378906,2177425.0
2025-09-16,479.8999938964844,481.0,475.0,477.5199890136719,1586736.0
