Date,Open,High,Low,Close,Volume
2025-07-31,225.5,229.39999389648438,219.91000366210938,221.94000244140625,6469386.0
2025-08-01,222.0,234.0,220.5,231.3699951171875,6775996.0
2025-08-04,233.0,244.44000244140625,233.0,238.0399932861328,9247674.0
2025-08-05,235.97999572753906,239.5,234.99000549316406,236.97000122070312,2808951.0
2025-08-06,238.02000427246094,260.6700134277344,238.02000427246094,259.9800109863281,14442976.0
2025-08-07,262.010009765625,274.8999938964844,260.5199890136719,267.4100036621094,10786603.0
2025-08-08,266.0,266.0,259.1000061035156,261.3299865722656,3172573.0
2025-08-11,261.0,267.5,261.0,265.6499938964844,3749318.0
2025-08-12,267.5,274.0,266.0,271.05999755859375,4502657.0
2025-08-13,272.489990234375,279.489990234375,270.25,275.760009765625,3301172.0
2025-08-15,276.5,277.489990234375,273.29998779296875,274.1499938964844,842332.0
2025-08-18,274.1000061035156,274.1000061035156,262.3999938964844,270.8599853515625,4744653.0
2025-08-19,269.5,274.989990234375,268.010009765625,269.739990234375,2769188.0
2025-08-20,270.0,274.8900146484375,268.0,272.1000061035156,2308382.0
2025-08-21,273.75,273.75,263.0299987792969,265.0799865722656,2487382.0
2025-08-22,265.010009765625,269.5,264.0,264.4800109863281,1203965.0
2025-08-25,264.0,264.8999938964844,260.17999267578125,261.70001220703125,797345.0
2025-08-26,263.3999938964844,264.5,258.0,258.67999267578125,1074871.0
2025-08-27,261.95001220703125,261.95001220703125,253.0,255.10000610351562,983277.0
2025-08-28,255.50999450683594,256.8699951171875,247.0,248.47000122070312,2483866.0
2025-08-29,249.1999969482422,259.8699951171875,247.0,256.2099914550781,3517753.0
2025-09-01,257.5,261.3999938964844,257.0,258.1700134277344,922582.0
2025-09-02,258.5,263.0,257.5,259.6499938964844,1684644.0
2025-09-03,261.989990234375,262.989990234375,258.1099853515625,259.3900146484375,1239592.0
2025-09-04,259.3900146484375,260.9800109863281,255.61000061035156,256.57000732421875,1709665.0
2025-09-05,256.5,263.8900146484375,256.5,259.4100036621094,1499623.0
2025-09-08,260.0,264.5,256.0,261.5400085449219,2807728.0
2025-09-09,262.1000061035156,268.0,258.0,264.1000061035156,2653543.0
2025-09-10,263.989990234375,264.20001220703125,261.25,261.8399963378906,772032.0
2025-09-11,262.0,262.8999938964844,258.5,259.30999755859375,1049025.0
2025-09-12,259.0,260.9800109863281,255.8000030517578,256.739990234375,1149742.0
2025-09-15,255.0,258.8900146484375,253.85000610351562,254.5500030517578,1216214.0
2025-09-16,257.20001220703125,258.0,254.61000061035156,255.17999267578125,1141458.0
2025-09-17,256.8800048828125,257.5,250.0500030517578,254.50999450683594,970098.0
2025-09-18,255.07000732421875,258.75,255.0500030517578,257.5299987792969,1639529.0
2025-09-19,257.6499938964844,258.6499938964844,253.0,254.35000610351562,951730.0
2025-09-22,256.8900146484375,256.8900146484375,251.0500030517578,251.52000427246094,2240194.0
2025-09-23,251.52000427246094,251.52000427246094,251.52000427246094,251.52000427246094,0.0
2025-09-24,250.0,251.85000610351562,249.0,249.24000549316406,844670.0
2025-09-25,250.00999450683594,264.0,249.75,258.489990234375,3218063.0
2025-09-26,263.0,279.989990234375,262.0,271.30999755859375,6556543.0
2025-09-29,271.3299865722656,279.0,267.5,278.1300048828125,3188579.0
2025-09-30,278.94000244140625,300.3900146484375,278.0,292.20001220703125,7843897.0
2025-10-01,294.9800109863281,295.0,284.25,288.010009765625,3231048.0
2025-10-02,288.8900146484375,306.0,288.8900146484375,304.4200134277344,6492338.0
2025-10-03,305.0,306.8999938964844,300.0,300.8699951171875,2024970.0
2025-10-06,301.5,307.75,293.79998779296875,304.07000732421875,2428524.0
2025-10-07,304.07000732421875,304.07000732421875,304.07000732421875,304.07000732421875,0.0
2025-10-08,315.1000061035156,318.0,310.19000244140625,316.5199890136719,2018472.0
2025-10-09,317.0,318.8999938964844,303.6000061035156,306.7300109863281,1477067.0
2025-10-10,305.8800048828125,305.8800048828125,297.1099853515625,301.20001220703125,2586955.0
2025-10-13,299.9700012207031,303.0,287.5,295.9800109863281,3610084.0
2025-10-14,300.010009765625,310.0,300.0,308.2300109863281,2027972.0
2025-10-15,309.0,318.6099853515625,308.1000061035156,309.1700134277344,2906550.0
2025-10-16,311.989990234375,314.0,304.79998779296875,305.4800109863281,2091747.0
2025-10-17,309.95001220703125,309.95001220703125,298.0,301.6000061035156,1053575.0
2025-10-20,306.0,319.0,303.29998779296875,316.0,4173770.0
2025-10-21,316.20001220703125,324.5,315.010009765625,317.29998779296875,3841759.0
2025-10-22,318.3900146484375,322.0,310.1000061035156,313.5400085449219,1351603.0
2025-10-23,314.0,319.489990234375,310.260009765625,313.70001220703125,3333369.0
2025-10-24,313.20001220703125,315.989990234375,307.0,308.3399963378906,714092.0
2025-10-27,308.0,311.8800048828125,302.5,304.3699951171875,1292332.0
2025-10-28,305.0,306.94000244140625,298.0,298.6000061035156,1066557.0
2025-10-29,298.6000061035156,301.9700012207031,295.010009765625,296.19000244140625,1268243.0
2025-10-30,296.19000244140625,300.489990234375,292.0,293.92999267578125,1707462.0
2025-10-31,292.989990234375,308.0,288.0,303.8299865722656,4804883.0
2025-11-03,308.8399963378906,308.8399963378906,296.8999938964844,297.989990234375,2206633.0
2025-11-04,299.989990234375,299.989990234375,292.75,294.7300109863281,789686.0
2025-11-05,295.0,301.0,289.0,290.9800109863281,1921893.0
2025-11-06,292.0,294.0,289.0199890136719,291.989990234375,979007.0
2025-11-07,296.9800109863281,296.9800109863281,287.1000061035156,288.2900085449219,2266070.0
2025-11-10,289.0,291.8999938964844,286.5199890136719,288.5400085449219,1308236.0
2025-11-11,287.989990234375,289.70001220703125,281.30999755859375,283.0199890136719,1015041.0
2025-11-12,283.5,286.9800109863281,277.1000061035156,279.3599853515625,875610.0
2025-11-13,280.75,283.95001220703125,279.0,280.010009765625,758922.0
2025-11-14,283.0,291.5,280.1000061035156,289.4100036621094,1239192.0
2025-11-17,290.1099853515625,297.1000061035156,286.70001220703125,287.4599914550781,2080936.0
2025-11-18,288.79998779296875,289.57000732421875,285.010009765625,286.79998779296875,547070.0
2025-11-19,286.989990234375,290.010009765625,286.29998779296875,287.9800109863281,685983.0
2025-11-20,289.8900146484375,289.95001220703125,288.1000061035156,289.0299987792969,292507.0
2025-11-21,289.9800109863281,293.989990234375,287.5,291.45001220703125,1198371.0
2025-11-24,292.9800109863281,294.989990234375,289.010009765625,293.45001220703125,923703.0
2025-11-25,293.1000061035156,295.0,291.70001220703125,293.6499938964844,572965.0
2025-11-26,294.5,305.0,290.0,300.95001220703125,2235403.0
2025-11-27,301.0,307.0,301.0,305.9599914550781,2547659.0
2025-11-28,307.0,317.0,306.989990234375,309.010009765625,3176465.0
2025-12-01,309.29998779296875,313.1000061035156,304.0299987792969,308.8900146484375,1660116.0
2025-12-02,310.0,313.0,307.5,308.1000061035156,829862.0
2025-12-03,310.0,310.6000061035156,307.0799865722656,308.1700134277344,1090853.0
2025-12-04,308.260009765625,312.989990234375,308.1000061035156,309.70001220703125,468991.0
2025-12-05,310.70001220703125,314.57000732421875,309.7699890136719,310.0799865722656,1308006.0
2025-12-08,310.0,311.989990234375,307.1000061035156,308.1199951171875,1360952.0
2025-12-09,309.8900146484375,316.79998779296875,308.5,314.6400146484375,1872536.0
2025-12-10,314.0,317.5,314.0,315.1300048828125,1445659.0
2025-12-11,315.1300048828125,316.70001220703125,310.0,310.25,1276175.0
2025-12-12,312.8900146484375,314.0,308.1099853515625,311.3500061035156,819070.0
2025-12-15,312.989990234375,313.9700012207031,311.0,312.20001220703125,424687.0
2025-12-16,312.1000061035156,319.6000061035156,311.0,313.1400146484375,1673622.0
2025-12-17,315.989990234375,324.3999938964844,313.1000061035156,320.6300048828125,3511411.0
2025-12-18,324.4800109863281,332.1000061035156,322.54998779296875,325.3900146484375,3431276.0
2025-12-19,326.9800109863281,326.9800109863281,319.0,320.489990234375,1109243.0
2025-12-22,320.5,321.0,315.1000061035156,316.2699890136719,840450.0
2025-12-23,316.2699890136719,324.010009765625,316.2699890136719,320.4800109863281,1653618.0
2025-12-24,321.0,322.8999938964844,318.1000061035156,318.8399963378906,597127.0
2025-12-26,320.0,325.0,319.8999938964844,321.3299865722656,1766219.0
2025-12-29,323.989990234375,325.95001220703125,321.0,324.3699951171875,1276741.0
2025-12-30,325.0,327.989990234375,323.5,324.19000244140625,987463.0
2025-12-31,324.2099914550781,326.989990234375,318.79998779296875,323.4100036621094,1506326.0
2026-01-01,323.4100036621094,323.4100036621094,323.4100036621094,323.4100036621094,0.0
