Date,Open,High,Low,Close,Volume
2025-07-31,147.88999938964844,147.88999938964844,144.0,146.7100067138672,3926319.0
2025-08-01,146.7100067138672,154.88999938964844,145.1999969482422,153.6199951171875,12189335.0
2025-08-04,155.0,159.89999389648438,152.0,157.92999267578125,12238596.0
2025-08-05,159.5,164.5,157.50999450683594,160.89999389648438,18003484.0
2025-08-06,160.10000610351562,164.6999969482422,160.10000610351562,164.13999938964844,9323210.0
2025-08-07,165.5,167.35000610351562,163.8300018310547,164.52999877929688,10016364.0
2025-08-08,164.88999938964844,165.39999389648438,160.50999450683594,162.9499969482422,3884409.0
2025-08-11,162.75,165.0,161.14999389648438,164.05999755859375,3740358.0
2025-08-12,164.88999938964844,165.47999572753906,162.16000366210938,162.8300018310547,6770732.0
2025-08-13,163.47000122070312,163.47000122070312,160.16000366210938,160.99000549316406,2837709.0
2025-08-15,161.0,161.99000549316406,157.3000030517578,158.85000610351562,2971100.0
2025-08-18,158.57000732421875,161.1999969482422,157.50999450683594,160.3699951171875,3169948.0
2025-08-19,160.10000610351562,161.0,157.25,157.9499969482422,3175724.0
2025-08-20,157.97999572753906,160.99000549316406,157.36000061035156,160.1699981689453,3323704.0
2025-08-21,160.0,161.99000549316406,158.30999755859375,160.97000122070312,6776451.0
2025-08-22,161.1199951171875,163.24000549316406,160.47999572753906,161.69000244140625,3143903.0
2025-08-25,162.0,162.97999572753906,161.0,161.30999755859375,2044309.0
2025-08-26,162.11000061035156,167.83999633789062,162.11000061035156,164.4199981689453,12573014.0
2025-08-27,165.0,166.75,163.8000030517578,164.2100067138672,3515991.0
2025-08-28,164.25,166.0,162.5,162.85000610351562,3138713.0
2025-08-29,162.5,165.42999267578125,162.5,164.27000427246094,3536869.0
2025-09-01,164.5,165.5,163.25,163.92999267578125,4310110.0
2025-09-02,164.24000549316406,164.39999389648438,162.35000610351562,163.22999572753906,2476318.0
2025-09-03,163.5,178.8800048828125,163.5,176.47999572753906,38209595.0
2025-09-04,177.5,182.5,175.50999450683594,177.74000549316406,11771735.0
2025-09-05,178.00999450683594,188.5,177.74000549316406,186.07000732421875,16961615.0
2025-09-08,188.5,202.5,188.25,196.83999633789062,21025012.0
2025-09-09,197.14999389648438,201.89999389648438,194.0500030517578,195.52000427246094,8324979.0
2025-09-10,194.3000030517578,200.8000030517578,193.10000610351562,197.07000732421875,6510007.0
2025-09-11,198.44000244140625,199.3000030517578,195.0,195.6699981689453,4426243.0
2025-09-12,195.00999450683594,195.8000030517578,190.2100067138672,192.24000549316406,5590120.0
2025-09-15,192.5,198.0,190.8000030517578,195.1699981689453,5866199.0
2025-09-16,196.00999450683594,198.89999389648438,195.6999969482422,197.74000549316406,4064113.0
2025-09-17,198.0,198.75,194.1999969482422,195.16000366210938,3361518.0
2025-09-18,196.97999572753906,199.89999389648438,195.6999969482422,197.69000244140625,4842375.0
2025-09-19,198.0,208.47999572753906,198.0,206.6699981689453,14071794.0
2025-09-22,208.47999572753906,214.69000244140625,207.0,210.52999877929688,9778586.0
2025-09-23,210.52999877929688,210.52999877929688,210.52999877929688,210.52999877929688,0.0
2025-09-24,210.75,217.89999389648438,210.11000061035156,215.69000244140625,10789343.0
2025-09-25,217.0,231.85000610351562,216.11000061035156,229.36000061035156,16719868.0
2025-09-26,232.0,237.60000610351562,231.10000610351562,232.82000732421875,10596659.0
2025-09-29,233.0,236.5,229.50999450683594,235.6199951171875,7352753.0
2025-09-30,235.64999389648438,244.89999389648438,235.64999389648438,239.30999755859375,9564049.0
2025-10-01,240.0,242.8000030517578,234.0,234.88999938964844,13042153.0
2025-10-02,235.08999633789062,236.0,230.33999633789062,233.2899932861328,5181576.0
2025-10-03,235.0,240.11000061035156,232.0,236.85000610351562,42729858.0
2025-10-06,229.0,229.0,219.10000610351562,223.35000610351562,12836272.0
2025-10-07,223.35000610351562,223.35000610351562,223.35000610351562,223.35000610351562,0.0
2025-10-08,214.97000122070312,219.89999389648438,207.5,213.67999267578125,31575533.0
2025-10-09,214.0,217.35000610351562,210.0,211.4199981689453,9833405.0
2025-10-10,212.00999450683594,214.5,208.60000610351562,211.1699981689453,8718045.0
2025-10-13,210.0,210.4499969482422,200.16000366210938,205.64999389648438,16419448.0
2025-10-14,209.0,218.8000030517578,209.0,217.52000427246094,11267572.0
2025-10-15,218.10000610351562,224.0,215.8000030517578,218.0399932861328,12435639.0
2025-10-16,219.85000610351562,223.0,215.64999389648438,219.13999938964844,9811724.0
2025-10-17,219.97999572753906,220.5,216.75,218.00999450683594,3290867.0
2025-10-20,220.0,221.88999938964844,218.60000610351562,220.8699951171875,4699570.0
2025-10-21,220.8699951171875,222.39999389648438,219.7100067138672,220.19000244140625,3924197.0
2025-10-22,220.2100067138672,221.5,217.0,218.2100067138672,2929612.0
2025-10-23,217.2100067138672,218.99000549316406,213.5,214.64999389648438,2566981.0
