Date,Open,High,Low,Close,Volume
2025-07-31,342.5,345.0,341.1000061035156,343.0199890136719,170858.0
2025-08-01,345.0,351.0,342.010009765625,348.19000244140625,503149.0
2025-08-04,350.0,351.760009765625,348.5,350.6600036621094,477626.0
2025-08-05,351.0199890136719,362.20001220703125,350.010009765625,358.8299865722656,516788.0
2025-08-06,361.9700012207031,365.8999938964844,353.510009765625,359.1700134277344,1958751.0
2025-08-07,359.0,362.989990234375,350.010009765625,352.760009765625,863444.0
2025-08-08,354.9800109863281,357.9800109863281,352.0,355.0199890136719,513343.0
2025-08-11,356.5,366.8800048828125,356.5,363.6099853515625,920465.0
2025-08-12,366.0,371.8900146484375,365.1000061035156,366.75,836011.0
2025-08-13,368.0,369.989990234375,358.0,360.95001220703125,1418004.0
2025-08-15,363.0,364.8900146484375,360.0,361.010009765625,951998.0
2025-08-18,353.0,353.0,345.0,349.45001220703125,1705711.0
2025-08-19,350.0,357.989990234375,349.0,356.55999755859375,802651.0
2025-08-20,355.45001220703125,364.0,354.54998779296875,362.6600036621094,1470941.0
2025-08-21,364.8999938964844,364.8999938964844,355.0,355.739990234375,705043.0
2025-08-22,359.5,359.79998779296875,355.1099853515625,355.70001220703125,198341.0
2025-08-25,356.010009765625,358.0,351.70001220703125,354.55999755859375,682968.0
2025-08-26,355.0,357.0,348.010009765625,350.17999267578125,235528.0
2025-08-27,350.19000244140625,354.989990234375,350.19000244140625,352.94000244140625,320344.0
2025-08-28,353.0,354.989990234375,348.0,349.2799987792969,219003.0
2025-08-29,348.0,357.0,345.04998779296875,353.5899963378906,738787.0
2025-09-01,355.8999938964844,356.5,350.0,355.4700012207031,293235.0
2025-09-02,356.0,357.7699890136719,353.010009765625,355.0799865722656,145600.0
2025-09-03,356.0,359.95001220703125,354.5,355.8699951171875,567224.0
2025-09-04,355.0,358.0,352.54998779296875,355.1300048828125,402155.0
2025-09-05,355.010009765625,360.45001220703125,351.0,356.5799865722656,342001.0
2025-09-08,359.55999755859375,359.55999755859375,354.8999938964844,357.0799865722656,302367.0
2025-09-09,357.1000061035156,359.0,355.5,356.79998779296875,870476.0
2025-09-10,358.8699951171875,358.8699951171875,355.1499938964844,356.44000244140625,170643.0
2025-09-11,355.2699890136719,358.0,354.05999755859375,354.5400085449219,712254.0
2025-09-12,354.5400085449219,358.0,350.25,351.6600036621094,359275.0
2025-09-15,351.989990234375,353.0,350.0199890136719,351.44000244140625,258328.0
2025-09-16,353.0,353.0,348.510009765625,349.67999267578125,276016.0
2025-09-17,352.0,352.0,349.0,349.9599914550781,300458.0
2025-09-18,351.0,356.9800109863281,350.0199890136719,354.3399963378906,646461.0
2025-09-19,357.0,357.0,352.0,353.6400146484375,170766.0
2025-09-22,355.0,355.92999267578125,349.010009765625,350.489990234375,362552.0
2025-09-23,350.489990234375,350.489990234375,350.489990234375,350.489990234375,0.0
2025-09-24,348.5,351.8800048828125,346.75,347.9599914550781,456331.0
2025-09-25,350.010009765625,350.9599914550781,345.0,345.8500061035156,362732.0
2025-09-26,348.4800109863281,355.0,345.8999938964844,353.9800109863281,253475.0
2025-09-29,354.0,354.94000244140625,352.0,352.9200134277344,199919.0
2025-09-30,354.0,359.8999938964844,317.6300048828125,356.9800109863281,890800.0
2025-10-01,359.5,360.5,353.0,356.6600036621094,556310.0
2025-10-02,356.79998779296875,376.1000061035156,356.0,370.6099853515625,2034936.0
2025-10-03,371.79998779296875,371.79998779296875,364.5,365.55999755859375,840746.0
2025-10-06,368.989990234375,371.8999938964844,358.0,364.44000244140625,1181087.0
2025-10-07,364.44000244140625,364.44000244140625,364.44000244140625,364.44000244140625,0.0
2025-10-08,362.4800109863281,369.5,360.5199890136719,367.0799865722656,732604.0
2025-10-09,367.0799865722656,400.0,365.2099914550781,375.3500061035156,1192975.0
2025-10-10,370.010009765625,373.9800109863281,365.5,366.6300048828125,764993.0
2025-10-13,366.6300048828125,366.6300048828125,355.0,356.9700012207031,1509542.0
2025-10-14,361.5,369.0,360.010009765625,367.0799865722656,258204.0
2025-10-15,370.0,374.9700012207031,369.0,371.7699890136719,780548.0
2025-10-16,373.7699890136719,374.0,367.0,367.75,447990.0
2025-10-17,366.79998779296875,369.70001220703125,362.510009765625,363.9100036621094,329543.0
2025-10-20,364.0,371.489990234375,361.9700012207031,370.6700134277344,308147.0
2025-10-21,372.6000061035156,384.25,372.6000061035156,382.8500061035156,2811814.0
2025-10-22,384.0,385.0,375.8500061035156,377.2099914550781,744892.0
2025-10-23,378.0,382.0,376.7200012207031,381.2300109863281,1042234.0
2025-10-24,376.1099853515625,380.9800109863281,374.0,378.8699951171875,311376.0
2025-10-27,379.0,379.0,373.0,375.2900085449219,157485.0
2025-10-28,375.29998779296875,380.5,373.510009765625,374.2099914550781,218412.0
2025-10-29,373.75,376.0,367.79998779296875,368.05999755859375,556763.0
2025-10-30,358.8999938964844,360.0,350.0,353.1700134277344,1398110.0
2025-10-31,353.1000061035156,368.0,353.1000061035156,363.6700134277344,885939.0
2025-11-03,364.0,365.9800109863281,357.510009765625,358.20001220703125,175194.0
2025-11-04,360.0,361.5,350.0,351.3299865722656,463305.0
2025-11-05,350.0,352.7900085449219,344.0,345.2200012207031,731165.0
2025-11-06,348.0,349.8999938964844,343.70001220703125,344.5,230160.0
2025-11-07,346.989990234375,349.25,345.0,347.8900146484375,289957.0
2025-11-10,349.010009765625,353.0,349.010009765625,352.25,249091.0
